,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
38,rikitea,pf,-23.1203,-134.9692,69.44,61,1,13.58
42,muhos,fi,64.808,25.9931,44.38,93,99,4.79
43,port alfred,za,-33.5906,26.891,58.35,65,0,6.76
45,goderich,ca,43.7501,-81.7165,75.97,73,12,5.75
48,thai binh,vn,20.45,106.3333,86.0,82,96,11.92
49,jadu,ly,31.953,12.0261,70.84,58,0,5.95
50,cayenne,gf,4.9333,-52.3333,82.09,81,0,3.0
52,parangan,ph,5.0839,119.9383,80.35,76,93,1.59
53,poum,nc,-20.2333,164.0167,72.7,63,68,22.44
54,kupang,id,-10.1667,123.5833,70.38,100,20,1.14
55,ancud,cl,-41.8697,-73.8203,44.13,75,26,6.11
56,ribeira grande,pt,38.5167,-28.7,74.41,87,100,23.49
58,georgetown,sh,-7.9333,-14.4167,75.56,73,91,21.36
61,nago,jp,26.5881,127.9761,84.27,85,94,11.95
63,ponta do sol,cv,17.1994,-25.0919,80.38,79,70,12.55
66,dingle,ie,52.1408,-10.2689,61.68,90,71,1.9
67,shalinskoye,ru,55.7228,93.7594,51.96,69,77,1.66
68,grand island,us,40.925,-98.342,91.42,69,27,4.0
70,severo-kurilsk,ru,50.6789,156.125,54.93,90,87,12.97
71,bluff,nz,-46.6,168.3333,59.81,63,66,16.82
72,ilheus,br,-14.7889,-39.0494,75.02,78,40,8.05
73,hofn,is,64.2539,-15.2082,54.9,99,100,9.15
75,punta arenas,cl,-53.15,-70.9167,39.31,70,90,13.8
77,vostok,ru,46.4856,135.8833,70.02,64,1,3.33
78,chirkey,ru,42.9613,46.9787,77.95,74,94,2.98
82,lishui,cn,28.4604,119.9103,78.55,93,100,2.48
86,mahebourg,mu,-20.4081,57.7,68.29,68,40,13.8
87,inhambane,mz,-23.865,35.3833,66.94,87,4,5.99
93,singanallur,in,11.0,77.0167,72.23,86,25,8.05
94,opuwo,na,-18.0607,13.84,62.89,38,4,3.96
95,panzhihua,cn,26.5851,101.7128,69.69,97,99,0.29
96,bilibino,ru,68.0546,166.4372,44.17,57,46,8.32
98,hithadhoo,mv,-0.6,73.0833,81.7,76,14,12.28
99,carnarvon,au,-24.8667,113.6333,53.67,58,0,8.05
100,vardo,no,70.3705,31.1107,44.08,74,100,9.84
101,lorengau,pg,-2.0226,147.2712,81.05,72,100,7.76
105,seoul,kr,37.5683,126.9778,71.24,94,90,11.5
106,puerto madryn,ar,-42.7692,-65.0385,44.02,42,3,15.1
107,hilo,us,19.7297,-155.09,78.03,91,51,4.0
110,albany,au,-35.0169,117.8917,43.23,93,44,6.91
111,darnah,ly,32.767,22.6367,77.92,80,0,18.66
113,musoma,tz,-1.5,33.8,72.55,61,91,5.03
115,qaanaaq,gl,77.484,-69.3632,36.91,60,25,6.58
116,rio gallegos,ar,-51.6226,-69.2181,33.85,75,0,6.91
117,aripuana,br,-9.1667,-60.6333,82.63,30,0,0.38
118,sokoto,ng,13.0609,5.239,78.13,74,23,8.88
119,port elizabeth,za,-33.918,25.5701,48.49,93,0,5.75
120,souillac,mu,-20.5167,57.5167,68.38,68,40,13.8
121,mochicahui,mx,25.9333,-108.9333,91.96,69,79,9.48
124,laguna,br,-28.4825,-48.7808,61.93,89,34,3.87
125,angoram,pg,-4.0625,144.0661,79.2,89,98,1.54
126,dukat,ru,62.55,155.55,57.49,84,99,8.52
129,saint george,bm,32.3817,-64.6781,83.75,86,2,7.0
131,san carlos de bariloche,ar,-41.1456,-71.3082,37.15,41,40,10.36
132,naze,jp,28.3667,129.4833,79.72,82,94,14.72
133,dutse,ng,11.7594,9.3392,79.57,58,81,6.35
134,walvis bay,na,-22.9575,14.5053,52.75,82,1,3.44
137,port hardy,ca,50.6996,-127.4199,62.78,67,20,6.91
138,camacha,pt,33.0833,-16.3333,71.02,78,40,18.41
139,jamestown,sh,-15.9387,-5.7168,63.16,72,45,22.91
141,saint-georges,gf,3.9,-51.8,75.24,87,76,3.71
144,chudniv,ua,50.052,28.1175,63.25,56,100,8.01
145,itoman,jp,26.1247,127.6694,84.22,84,75,12.66
146,victoria,sc,-4.6167,55.45,78.06,83,40,16.11
148,avarua,ck,-21.2078,-159.775,75.25,94,40,10.36
151,saint-augustin,ca,51.226,-58.6502,71.94,75,83,2.82
152,bethel,us,41.3712,-73.414,73.63,94,78,1.99
156,dori,bf,14.0354,-0.0345,89.64,43,22,5.93
159,kapaa,us,22.0752,-159.319,77.27,76,43,4.0
161,carauari,br,-4.8828,-66.8958,85.77,43,33,3.31
162,rio claro,tt,10.3,-61.1833,77.5,94,100,4.52
168,yumen,cn,40.2833,97.2,59.27,26,1,8.16
169,san ramon,bo,-13.2833,-64.7167,89.53,28,47,4.21
172,yerbogachen,ru,61.2767,108.0108,51.53,84,94,5.19
175,omboue,ga,-1.5746,9.2618,74.01,82,34,9.13
176,comodoro rivadavia,ar,-45.8667,-67.5,40.86,48,20,13.8
178,yulara,au,-25.2406,130.9889,46.24,46,40,10.36
179,viedma,ar,-40.8135,-62.9967,43.23,41,41,8.63
183,yar-sale,ru,66.8333,70.8333,59.36,69,40,21.07
184,lubango,ao,-14.9172,13.4925,61.74,44,62,1.61
187,landsberg,de,51.5167,12.1667,54.72,84,75,8.05
191,sao filipe,cv,14.8961,-24.4956,78.93,80,84,8.39
192,cherskiy,ru,68.75,161.3,50.32,40,0,7.7
193,hefei,cn,31.8639,117.2808,75.22,94,0,8.95
196,high rock,bs,26.6208,-78.2833,86.02,71,100,13.22
198,brokopondo,sr,4.75,-55.1667,83.86,60,99,2.95
200,xixiang,cn,35.1628,112.865,69.01,71,24,5.93
201,bambous virieux,mu,-20.3428,57.7575,68.25,68,40,13.8
202,vanimo,pg,-2.6741,141.3028,79.52,84,97,4.05
204,okha,ru,53.5739,142.9478,62.4,81,22,17.25
210,macamic,ca,48.7502,-78.9996,79.03,59,1,2.95
214,port blair,in,11.6667,92.75,80.92,78,93,10.04
215,pawai,in,24.2667,80.1667,77.59,88,97,7.29
216,high level,ca,58.5169,-117.136,57.31,62,75,2.3
219,luba,gq,3.4568,8.5547,76.89,88,26,8.86
220,kaniama,cd,-7.5667,24.1833,69.53,83,100,1.63
222,te anau,nz,-45.4167,167.7167,52.66,90,97,6.67
223,marondera,zw,-18.1853,31.5519,53.46,86,78,4.47
225,ourossogui,sn,15.6064,-13.3211,82.4,83,20,2.3
226,saint-philippe,re,-21.3585,55.7679,60.78,72,38,11.7
230,zakamensk,ru,50.3741,103.2863,40.98,93,21,2.35
232,torbay,ca,47.6666,-52.7314,65.17,69,97,5.01
234,champerico,gt,14.3,-91.9167,77.81,84,94,1.05
236,nelson bay,au,-32.7167,152.15,51.67,97,100,3.0
239,fortuna,us,40.5982,-124.1573,65.53,68,1,3.0
243,yinchuan,cn,38.4681,106.2731,62.29,34,0,4.63
246,dunedin,nz,-45.8742,170.5036,58.8,62,77,7.29
247,presidencia roque saenz pena,ar,-26.7852,-60.4388,74.41,43,43,12.19
248,bandiagara,ml,14.3501,-3.6104,86.11,50,64,4.03
249,adrar,dz,25.75,-1.0,95.79,13,0,11.59
252,hasaki,jp,35.7333,140.8333,81.0,79,100,3.78
260,krasnyy kut,ru,50.95,46.9667,67.96,77,99,15.84
263,aswan,eg,24.0934,32.907,87.8,23,0,12.57
264,whitehorse,ca,60.7161,-135.0538,65.19,42,40,12.66
266,ahipara,nz,-35.1667,173.1667,58.3,59,31,9.42
267,nogliki,ru,51.8333,143.1667,61.77,78,50,6.58
269,hamilton,bm,32.2915,-64.778,82.0,81,0,5.01
270,vao,nc,-22.6667,167.4833,68.04,72,74,16.78
275,balaka,mw,-14.9793,34.9558,68.47,61,79,1.45
282,mount isa,au,-20.7333,139.5,56.97,26,17,17.27
283,nikolskoye,ru,59.7035,30.7861,48.09,96,74,4.85
285,birao,cf,10.2849,22.7882,71.13,93,60,4.97
286,saskylakh,ru,71.9167,114.0833,48.07,76,100,8.97
288,clyde river,ca,70.4692,-68.5914,39.43,93,90,12.66
290,rorvik,no,64.8621,11.2373,52.5,75,100,2.95
291,berbera,so,10.4396,45.0143,91.06,46,66,13.91
292,damara,cf,4.9608,18.7035,80.02,89,56,1.43
295,kaitangata,nz,-46.2817,169.8464,56.08,67,93,5.26
296,tanete,id,-3.9443,119.7848,73.62,89,100,3.85
297,eirunepe,br,-6.6603,-69.8736,86.83,48,81,4.38
298,togur,ru,58.3631,82.8265,55.94,98,41,5.3
299,nanortalik,gl,60.1432,-45.2371,46.06,74,46,6.62
303,villarrica,cl,-39.2857,-72.2279,46.62,92,61,1.63
304,makakilo city,us,21.3469,-158.0858,79.81,79,90,9.22
305,havoysund,no,70.9963,24.6622,45.48,86,100,9.89
307,bengkulu,id,-3.8004,102.2655,74.66,88,71,4.99
312,portales,us,34.1862,-103.3344,90.01,39,80,1.99
315,pevek,ru,69.7008,170.3133,36.91,70,8,4.0
316,touros,br,-5.1989,-35.4608,74.3,81,10,15.88
317,iqaluit,ca,63.7506,-68.5145,44.33,76,90,11.5
320,new norfolk,au,-42.7826,147.0587,40.77,83,12,3.33
323,tazovskiy,ru,67.4667,78.7,59.52,75,81,10.71
324,leningradskiy,ru,69.3833,178.4167,33.12,92,100,6.38
326,dickinson,us,29.4608,-95.0513,91.63,64,8,1.99
327,sorong,id,-0.8833,131.25,79.93,79,66,3.98
329,kysyl-syr,ru,63.8986,122.7617,52.74,70,100,6.67
335,virginia beach,us,36.8529,-75.978,88.09,69,73,9.08
337,san giorgio del sannio,it,41.0696,14.8522,68.81,70,0,1.3
338,port macquarie,au,-31.4333,152.9167,60.69,88,75,4.61
340,upernavik,gl,72.7868,-56.1549,47.1,66,99,6.38
341,east london,za,-33.0153,27.9116,60.28,65,0,4.43
346,saint-francois,gp,16.2526,-61.2741,82.36,72,100,15.84
352,naples,us,26.142,-81.7948,81.39,79,92,6.13
354,vagamo,no,61.8751,9.0967,51.75,68,98,2.55
356,isangel,vu,-19.55,169.2667,75.31,60,20,11.5
358,awjilah,ly,29.1081,21.2869,80.15,54,0,17.18
359,pangai,to,-19.8,-174.35,77.11,47,20,4.61
360,biltine,td,14.5333,20.9167,77.67,61,100,7.54
361,locri,it,38.2414,16.2623,78.71,62,0,11.23
363,surt,ly,31.2089,16.5887,80.69,64,0,8.43
370,havre-saint-pierre,ca,50.2334,-63.5986,70.16,78,1,8.05
375,bertinoro,it,44.1469,12.1389,67.64,88,44,1.01
381,picota,pe,-6.9197,-76.3304,91.89,62,51,2.26
387,itarema,br,-2.9248,-39.9167,79.74,77,4,17.11
388,wilmington island,us,32.0036,-80.9737,79.56,85,75,8.05
389,karratha,au,-20.7377,116.8463,68.56,36,0,12.48
390,belmonte,br,-15.8631,-38.8828,73.9,81,0,8.19
391,piet retief,za,-27.0071,30.8132,53.08,67,8,4.43
395,nara,ml,15.1713,-7.2889,87.17,49,100,3.62
396,zhigansk,ru,66.7697,123.3711,52.27,60,82,10.94
397,sassandra,ci,4.95,-6.0833,75.29,90,79,4.14
398,gedinne,be,49.9804,4.9367,58.03,96,2,4.09
399,vila franca do campo,pt,37.7167,-25.4333,75.61,81,95,7.94
402,marsh harbour,bs,26.5412,-77.0636,83.84,70,100,11.88
405,tuktoyaktuk,ca,69.4541,-133.0374,51.8,76,75,8.05
408,monrovia,lr,6.3005,-10.7969,76.77,84,99,4.99
410,hervey bay,au,-25.2986,152.8535,69.91,83,68,14.36
411,longyearbyen,sj,78.2186,15.6401,42.64,87,75,4.61
412,aktau,kz,43.65,51.2,77.58,56,89,5.28
413,chokurdakh,ru,70.6333,147.9167,42.62,74,44,8.12
417,padang,id,-0.9492,100.3543,71.65,91,95,3.06
418,baijiantan,cn,45.6333,85.1833,73.63,20,0,3.47
420,saint-pierre,pm,46.7654,-56.1695,64.36,88,0,14.97
422,shubarshi,kz,48.5872,57.1869,75.27,28,0,7.67
423,lebu,cl,-37.6167,-73.65,46.85,76,81,12.3
424,parana,br,-24.0,-51.0,69.75,38,2,1.16
429,porto novo,cv,17.0197,-25.0647,80.6,71,83,14.36
431,college,us,64.8569,-147.8028,54.21,93,90,0.0
432,lagoa,pt,39.05,-27.9833,73.26,86,100,16.73
435,bartica,gy,6.4,-58.6167,82.72,87,71,4.81
437,ust-nera,ru,64.5667,143.2,60.67,88,99,4.18
441,ciudad real,es,39.0,-4.0,75.92,46,28,11.59
442,matamba,tz,-8.9833,33.9667,51.76,79,3,5.21
445,nishihara,jp,26.1842,127.7558,83.48,84,75,12.66
447,westport,nz,-41.7526,171.6037,53.58,83,100,8.41
451,bay roberts,ca,47.5999,-53.2648,65.64,65,94,8.99
454,harper,lr,4.375,-7.7169,75.74,90,27,5.44
456,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,68.59,73,0,6.71
457,port lincoln,au,-34.7333,135.8667,51.98,59,95,12.1
459,vidim,ru,56.4088,103.1106,48.72,89,92,2.17
464,tiksi,ru,71.6872,128.8694,48.47,82,100,5.14
465,sapucaia,br,-29.8333,-51.15,61.86,78,75,10.0
467,kodiak,us,57.79,-152.4072,54.68,98,100,5.95
469,namibe,ao,-15.1961,12.1522,62.62,75,41,8.59
470,ahuimanu,us,21.4447,-157.8378,79.77,74,90,13.8
473,constantine,dz,36.365,6.6147,80.01,36,0,0.0
474,srednekolymsk,ru,67.45,153.6833,44.92,59,96,8.46
475,opelousas,us,30.5335,-92.0815,96.51,49,1,0.0
476,manica,mz,-18.9367,32.876,62.28,85,29,1.34
477,jacareacanga,br,-6.2222,-57.7528,87.96,32,46,1.36
479,komsomolskiy,ru,43.9783,46.6985,76.71,58,100,3.62
480,krasnyy chikoy,ru,50.3643,108.7512,52.5,95,100,4.05
482,yenagoa,ng,4.9247,6.2642,74.84,94,23,4.0
489,escanaba,us,45.7453,-87.0646,76.86,79,20,14.97
491,sambava,mg,-14.2667,50.1667,68.02,85,10,11.23
494,iquitos,pe,-3.7481,-73.2472,82.78,64,45,2.17
496,clarence town,bs,23.1,-74.9833,82.18,83,99,17.09
497,kavieng,pg,-2.5744,150.7967,78.21,86,100,13.02
504,keetmanshoop,na,-26.5833,18.1333,56.64,29,42,8.14
505,richards bay,za,-28.783,32.0377,66.79,77,100,15.03
508,guozhen,cn,34.3659,107.359,68.0,54,29,3.94
510,alice springs,au,-23.7,133.8833,49.55,40,63,10.36
511,obeliai,lt,55.9667,25.15,46.99,94,2,5.61
514,araouane,ml,18.9048,-3.5265,99.25,20,35,7.81
515,kyzyl-suu,kg,42.3414,78.0056,63.91,55,100,6.08
516,alexandria,eg,31.2156,29.9553,78.82,76,0,9.46
517,aquiraz,br,-3.9014,-38.3911,80.69,74,44,13.89
518,riyadh,sa,24.6877,46.7219,88.48,33,3,7.65
520,thinadhoo,mv,0.5333,72.9333,80.83,77,74,11.88
521,erdenet,mn,49.0333,104.0833,42.17,90,69,6.64
523,chicama,pe,-7.8447,-79.1469,65.21,78,32,8.37
524,cefalu,it,38.0386,14.0229,76.98,54,0,4.0
527,nome,us,64.5011,-165.4064,59.16,70,96,4.65
528,dzilam gonzalez,mx,21.2833,-88.9333,78.6,91,93,6.82
535,najran,sa,17.4924,44.1277,79.65,25,82,3.49
536,port-gentil,ga,-0.7193,8.7815,76.12,80,76,13.8
539,raudeberg,no,61.9875,5.1352,51.93,92,98,9.69
541,lompoc,us,34.6391,-120.4579,71.15,68,26,5.99
542,itaituba,br,-4.2761,-55.9836,85.05,38,25,3.11
544,fairbanks,us,64.8378,-147.7164,54.28,94,100,1.25
555,carmen,cr,9.8728,-83.9211,67.55,86,100,2.39
556,ippy,cf,6.2679,21.2247,70.11,94,97,2.55
557,anadyr,ru,64.75,177.4833,52.3,93,40,2.24
558,grand gaube,mu,-20.0064,57.6608,65.37,69,79,1.99
559,mercedes,ar,-34.6515,-59.4307,48.24,61,53,6.53
563,meadow lake,ca,54.1335,-108.4347,57.18,67,90,11.5
564,ferrol,es,43.4832,-8.2369,66.52,78,2,14.07
565,narsaq,gl,60.9167,-46.05,57.42,66,2,1.19
566,hami,cn,42.8,93.45,70.74,18,0,4.92
567,vila velha,br,-20.3297,-40.2925,71.92,83,0,12.5
569,sisimiut,gl,66.9395,-53.6735,43.27,90,87,4.41
572,bang saphan,th,11.2126,99.5117,77.92,87,100,5.66
576,ginir,et,7.1333,40.7,61.93,49,48,17.87
579,miandrivazo,mg,-19.5167,45.4667,71.47,70,5,0.69
580,beboto,td,8.2668,16.939,71.73,91,87,0.31
582,pangnirtung,ca,66.1451,-65.7125,46.53,74,90,12.08
583,petrozavodsk,ru,61.7849,34.3469,53.55,97,100,11.74
584,bariri,br,-22.0744,-48.7403,76.84,28,3,4.99
586,general roca,ar,-39.0333,-67.5833,48.43,30,33,5.03
588,tuatapere,nz,-46.1333,167.6833,59.83,62,88,8.57
590,la ronge,ca,55.1001,-105.2842,55.54,56,100,8.23
591,gobabis,na,-22.45,18.9667,64.24,21,49,11.52
592,katobu,id,-4.9408,122.5276,74.64,91,88,1.9
598,wagar,sd,16.1525,36.2032,82.2,68,65,18.95
605,bulgan,mn,48.8125,103.5347,43.29,88,41,6.02
607,asyut,eg,27.181,31.1837,84.6,26,0,5.17
608,bitung,id,1.4451,125.1824,74.25,79,99,2.82
611,teno,cl,-34.8667,-71.1833,48.22,83,98,2.59
612,ostrovnoy,ru,68.0531,39.5131,43.25,81,96,14.38
615,cabo san lucas,mx,22.8909,-109.9124,89.33,72,97,3.0
616,kloulklubed,pw,7.0419,134.2556,83.64,70,98,6.06
617,koygorodok,ru,60.445,50.9968,51.64,88,65,3.36
619,omsukchan,ru,62.5333,155.8,59.58,83,99,8.63
622,nouadhibou,mr,20.931,-17.0347,73.94,75,0,21.99
628,torrington,us,41.8007,-73.1212,72.66,98,99,2.33
630,matara,lk,5.9485,80.5353,75.52,90,37,5.86
636,golspie,gb,57.9727,-3.978,54.9,95,100,0.76
643,tabuk,sa,28.3833,36.5833,80.62,28,0,5.61
647,saldanha,za,-33.0117,17.9442,56.1,91,0,3.22
648,kamoke,pk,31.9744,74.2244,82.31,65,4,4.74
650,coahuayana,mx,18.7333,-103.6833,86.7,71,38,7.14
652,castro,cl,-42.4721,-73.7732,43.39,78,58,4.43
656,esperance,au,-33.8667,121.9,46.42,76,90,9.71
665,verkhnetulomskiy,ru,68.6073,31.7962,41.13,84,92,2.37
667,jalu,ly,29.0331,21.5482,80.62,52,0,15.37
675,soto la marina,mx,23.7667,-98.2167,87.78,53,8,13.15
676,shingu,jp,33.7333,135.9833,81.91,76,99,6.6
677,soligalich,ru,59.0778,42.2864,48.4,96,5,4.25
679,qingdao,cn,36.0986,120.3719,73.81,93,90,12.75
680,jacmel,ht,18.2342,-72.5347,83.08,75,16,3.13
681,klamath falls,us,42.2249,-121.7817,84.74,13,0,4.0
684,krasnoselkup,ru,65.7,82.4667,61.45,89,51,13.78
686,kruisfontein,za,-34.0033,24.7314,50.77,71,0,6.15
688,nalut,ly,30.3333,10.85,80.73,31,0,15.86
696,mizdah,ly,31.4451,12.9801,72.27,64,0,9.66
697,udachnyy,ru,66.4167,112.4,50.59,73,86,8.63
698,diffa,ne,13.3154,12.6113,82.42,59,38,6.38
700,presidente venceslau,br,-21.8761,-51.8439,80.44,25,0,6.96
709,erenhot,cn,43.6475,111.9767,51.48,75,100,11.92
715,muzhi,ru,65.3667,64.6667,55.99,69,22,14.52
716,talnakh,ru,69.4865,88.3972,54.28,90,100,20.85
717,sola,vu,-13.8833,167.55,77.86,63,66,20.36
721,hambantota,lk,6.1241,81.1185,77.4,85,43,11.56
724,los llanos de aridane,es,28.6585,-17.9182,68.13,91,0,14.97
726,maningrida,au,-12.0667,134.2667,78.4,71,41,9.15
729,jaen,pe,-5.7081,-78.8047,85.75,43,39,6.78
730,gamba,ga,-2.65,10.0,73.44,79,27,6.46
735,tilichiki,ru,60.4667,166.1,56.34,86,100,4.12
740,svetlogorsk,ru,54.9399,20.1548,58.6,75,5,18.48
742,nicoya,cr,10.1483,-85.452,75.7,94,97,2.77
743,arraial do cabo,br,-22.9661,-42.0278,71.98,82,0,24.25
753,sao sebastiao,br,-23.76,-45.4097,74.23,50,0,4.29
754,cidreira,br,-30.1811,-50.2056,60.51,85,68,11.77
755,moree,au,-29.4667,149.85,50.02,81,90,19.57
756,deer lake,ca,49.1667,-57.4316,65.32,78,47,7.25
757,jardim,br,-21.4803,-56.1381,84.07,28,35,5.35
763,oistins,bb,13.0667,-59.5333,80.02,77,100,17.07
768,sayyan,ye,15.1718,44.3244,66.13,40,73,8.48
769,wajima,jp,37.4,136.9,76.95,84,100,7.47
770,gazli,uz,40.1333,63.45,80.71,20,0,7.4
771,siverek,tr,37.755,39.3167,74.01,41,0,5.1
772,beira,mz,-19.8436,34.8389,67.51,87,0,4.61
774,rocha,uy,-34.4833,-54.3333,50.34,66,88,4.23
776,bozuyuk,tr,39.9078,30.0367,56.46,88,0,1.48
778,mitrofanovka,ru,49.9708,39.6939,61.14,74,27,4.09
779,muros,es,42.7762,-9.0603,68.47,67,0,13.04
781,progreso,mx,21.2833,-89.6667,76.1,83,84,13.2
784,usinsk,ru,65.9939,57.5281,47.8,90,100,13.76
785,ilulissat,gl,69.2167,-51.1,51.82,50,100,5.75
786,san patricio,mx,19.2167,-104.7,86.07,69,40,12.3
788,pangody,ru,65.85,74.4859,64.94,77,49,13.33
791,pa sang,th,18.5262,98.9394,80.8,92,98,1.32
792,abapo,bo,-18.8333,-63.4667,83.64,33,0,10.33
794,ranghulu,cn,46.65,124.8667,66.36,86,16,6.89
798,matam,sn,15.6175,-13.3303,87.66,59,100,9.15
802,paamiut,gl,61.994,-49.6678,39.7,94,54,8.5
803,bourail,nc,-21.5667,165.4833,72.93,49,32,12.08
805,qaqortoq,gl,60.7167,-46.0333,57.7,75,4,1.32
806,kirovskiy,ru,45.0917,133.5136,71.4,64,53,5.3
810,ayan,ru,56.45,138.1667,58.87,90,25,13.51
812,tobol,kz,52.6844,62.5794,70.18,39,0,5.64
813,novyy urengoy,ru,66.0833,76.6333,66.04,63,33,11.77
817,bud,no,62.9088,6.9145,53.04,74,100,8.5
818,roald,no,62.5833,6.1333,52.48,87,90,6.91
823,sao joao da barra,br,-21.6403,-41.0511,72.05,84,0,21.14
825,seymchan,ru,62.8833,152.4333,55.51,89,100,9.53
827,deputatskiy,ru,69.3,139.9,44.69,83,100,3.91
833,garmsar,ir,35.2182,52.3409,85.42,22,64,5.28
837,celestun,mx,20.8667,-90.4,85.53,68,95,14.47
839,mecca,sa,21.4267,39.8261,91.06,38,54,4.54
840,emerald,au,-23.5333,148.1667,63.32,55,37,17.45
849,northam,au,-31.6667,116.6667,46.45,70,37,7.38
850,erzin,ru,50.261,95.1623,46.63,80,0,3.76
853,maryville,us,35.7565,-83.9705,86.11,67,3,4.03
855,fort nelson,ca,58.8053,-122.7002,65.5,37,49,2.77
857,mount gambier,au,-37.8333,140.7667,45.9,85,75,6.87
859,barreiras,br,-12.1528,-44.99,78.1,31,37,4.23
862,hay river,ca,60.8156,-115.7999,58.41,54,92,8.43
864,trelew,ar,-43.249,-65.3051,42.94,40,2,19.48
867,perth,au,-31.9333,115.8333,48.29,69,0,18.41
869,puyang,cn,29.4603,119.8861,79.72,91,100,3.02
870,yamada,jp,39.4667,141.95,72.34,90,93,3.04
873,bubaque,gw,11.2833,-15.8333,80.11,79,100,12.59
874,terenos,br,-20.4422,-54.8603,83.93,26,2,4.41
879,belyy yar,ru,53.6039,91.3903,44.49,93,0,2.24
882,alofi,nu,-19.0595,-169.9187,74.55,74,84,17.09
884,vizinga,ru,61.0749,50.1031,50.07,95,12,4.5
885,zhmerynka,ua,49.037,28.112,60.66,59,90,7.43
903,necochea,ar,-38.5473,-58.7368,39.04,55,85,8.77
905,guderup,dk,54.9898,9.8717,53.98,75,9,6.76
907,khatanga,ru,71.9667,102.5,46.38,88,94,4.56
909,batemans bay,au,-35.7167,150.1833,48.7,93,100,13.29
911,hokitika,nz,-42.7167,170.9667,54.05,87,100,11.14
913,oranjestad,aw,12.524,-70.027,81.97,80,96,27.36
914,alvinopolis,br,-20.1067,-43.0489,65.89,58,0,3.69
919,lyuban,by,52.7985,28.0048,58.78,53,100,5.39
920,praia,cv,14.9215,-23.5087,81.14,78,0,14.97
921,axim,gh,4.8699,-2.2405,75.72,92,79,5.23
923,plouzane,fr,48.3833,-4.6167,59.94,91,40,10.36
925,hecelchakan,mx,20.1667,-90.1333,85.75,57,92,7.52
926,fairview,ca,56.0668,-118.3861,57.4,52,94,4.68
927,tulum,mx,20.2167,-87.4667,85.98,76,97,7.07
928,pompeu,br,-19.2244,-44.9353,71.19,33,0,1.97
933,dzhebariki-khaya,ru,62.2167,135.8,67.48,86,99,2.37
940,haimen,cn,23.1935,116.6142,80.73,88,100,5.97
944,iralaya,hn,15.0,-83.2333,81.34,85,62,11.23
947,grand bank,ca,47.0999,-55.765,62.37,84,19,14.76
950,vestmanna,fo,62.1564,-7.1664,52.72,100,90,4.61
952,namatanai,pg,-3.6667,152.4333,78.84,84,100,8.25
953,navrongo,gh,10.8956,-1.0921,78.87,76,86,2.77
956,kudahuvadhoo,mv,2.6708,72.8944,80.76,76,68,11.56
962,danielskuil,za,-28.1887,23.5395,63.72,23,92,7.87
965,tevriz,ru,57.509,72.4042,66.43,65,2,3.89
974,pathein,mm,16.7833,94.7333,78.39,90,86,5.48
977,botshabelo,za,-29.2702,26.7052,58.12,63,100,12.41
978,balykshi,kz,47.0667,51.8667,77.0,27,0,8.95
983,kambove,cd,-10.8764,26.5969,68.0,56,91,3.44
985,huarmey,pe,-10.0681,-78.1522,63.84,81,20,9.04
986,arona,es,28.0996,-16.681,66.11,73,20,5.01
996,teguise,es,29.0605,-13.564,70.02,73,75,16.11
1009,aberdeen,us,45.4647,-98.4865,94.96,15,0,9.4
